from,to,cost
0,10,8251.2001953125
0,11,10020.599609375
0,13,3169.0
0,19,8509.7001953125
0,20,7238.7998046875
0,22,6429.0
0,24,4556.5
0,25,7016.60009765625
0,31,10255.7998046875
0,32,8496.099609375
0,36,7644.89990234375
0,37,2124.300048828125
0,39,9323.2001953125
0,40,10092.5
0,42,3641.10009765625
0,51,7869.7998046875
0,53,6636.0
0,54,2338.699951171875
0,55,10154.2998046875
0,57,9641.0
0,58,6821.2998046875
0,61,6594.7001953125
0,62,7161.89990234375
0,67,6903.7001953125
0,68,7572.7998046875
0,71,7583.60009765625
0,72,7284.0
0,74,10254.0
0,85,10203.7998046875
0,94,11036.0
0,95,4606.10009765625
0,96,8901.400390625
0,98,8226.5
0,102,8362.7001953125
0,103,7325.89990234375
0,108,9892.2001953125
0,109,10097.900390625
0,111,3182.800048828125
0,112,7878.89990234375
0,113,8911.2001953125
0,114,7031.0
0,115,5349.60009765625
0,116,2421.10009765625
0,117,5389.2998046875
0,118,7350.10009765625
0,119,10619.5
0,120,6271.60009765625
0,125,3899.89990234375
0,127,10285.2998046875
0,129,9641.2998046875
0,132,9729.2998046875
0,139,8260.2001953125
0,140,3820.0
0,141,9628.400390625
0,142,1476.199951171875
0,143,4105.89990234375
0,145,933.2000122070312
0,156,9233.2998046875
0,167,8810.2998046875
0,168,6020.5
0,169,5237.0
0,171,7574.2998046875
0,173,7247.2001953125
0,175,7179.39990234375
0,179,9389.7998046875
0,190,7211.2998046875
0,194,7342.2001953125
0,199,3764.699951171875
0,202,9204.2998046875
0,205,8114.7998046875
0,206,10009.7001953125
1,2,2504.60009765625
1,3,8563.7998046875
1,4,8572.5
1,5,9561.0
1,6,9590.0
1,7,2506.300048828125
1,11,5016.60009765625
1,12,10149.099609375
1,13,10243.599609375
1,15,7986.7001953125
1,16,7867.5
1,17,8488.900390625
1,23,8107.2001953125
1,24,9164.7001953125
1,25,9586.599609375
1,27,5045.2001953125
1,28,1926.4000244140625
1,29,7928.60009765625
1,30,5824.0
1,33,8725.7998046875
1,38,7495.0
1,44,8476.599609375
1,45,5996.7998046875
1,46,8301.5
1,48,6365.0
1,49,3930.699951171875
1,51,8735.900390625
1,53,7745.89990234375
1,55,6781.89990234375
1,56,7475.60009765625
1,58,9382.099609375
1,62,9186.900390625
1,64,6089.7998046875
1,65,6245.60009765625
1,78,3233.10009765625
1,79,5788.2001953125
1,80,8561.2001953125
1,85,4461.2001953125
1,91,9528.900390625
1,92,5993.7998046875
1,93,9270.099609375
1,95,9311.7998046875
1,101,6891.0
1,106,7667.2998046875
1,107,3485.800048828125
1,108,5078.5
1,109,7768.2001953125
1,110,6157.5
1,114,9591.7998046875
1,120,8841.5
1,123,4192.39990234375
1,124,9604.900390625
1,125,8972.2998046875
1,129,4829.2998046875
1,132,5589.39990234375
1,133,7520.7001953125
1,134,8058.0
1,135,5734.60009765625
1,136,9543.7001953125
1,138,9182.2998046875
1,139,6995.39990234375
1,144,9078.599609375
1,147,5648.89990234375
1,152,9868.5
1,153,4595.7001953125
1,154,10113.2001953125
1,161,9940.7001953125
1,165,7858.0
1,166,7409.0
1,167,7218.60009765625
1,168,8045.60009765625
1,169,8316.7001953125
1,170,6477.60009765625
1,171,6123.39990234375
1,173,7897.0
1,174,9830.7998046875
1,177,715.5
1,178,10488.7998046875
1,179,4722.39990234375
1,183,3529.60009765625
1,184,6916.7998046875
1,188,9435.400390625
1,191,8732.2001953125
1,192,8127.39990234375
1,193,9978.400390625
1,195,9006.0
1,196,7353.10009765625
1,201,4941.89990234375
1,202,7559.2001953125
1,203,7877.2001953125
2,1,1489.300048828125
2,3,6971.2998046875
2,4,6978.2998046875
2,5,9148.2001953125
2,6,9177.099609375
2,7,3995.699951171875
2,11,6506.0
2,12,8795.2001953125
2,13,9050.400390625
2,15,6394.2001953125
2,16,7454.60009765625
2,17,6944.89990234375
2,23,7694.2998046875
2,24,7971.5
2,25,8393.2998046875
2,27,6534.60009765625
2,28,3415.800048828125
2,29,8081.10009765625
2,30,5411.10009765625
2,33,7133.2998046875
2,38,7082.10009765625
2,44,9966.0
2,45,7486.2001953125
2,46,9790.900390625
2,48,5952.10009765625
2,49,2338.300048828125
2,51,7542.60009765625
2,53,6724.5
2,55,8271.400390625
2,56,6121.7001953125
2,58,8188.89990234375
2,62,7993.7001953125
2,64,6242.2998046875
2,65,6398.0
2,78,728.2000122070312
2,79,7277.60009765625
2,80,7207.2998046875
2,85,5950.7001953125
2,91,9116.099609375
2,92,7483.2001953125
2,93,8305.7998046875
2,94,10741.900390625
2,95,8118.5
2,97,9436.7001953125
2,101,6011.0
2,106,9156.7998046875
2,107,4975.2001953125
2,108,6568.0
2,109,6575.0
2,110,7646.89990234375
2,112,9224.400390625
2,114,8398.5
2,120,7648.2998046875
2,123,2838.5
2,124,9192.099609375
2,125,7779.0
2,127,10112.7001953125
2,128,9190.5
2,129,3475.39990234375
2,132,7078.7998046875
2,133,6640.60009765625
2,134,7645.10009765625
2,135,4142.2001953125
2,136,8666.5
2,138,8456.599609375
2,139,5800.89990234375
2,143,9987.2998046875
2,144,7486.2001953125
2,147,4295.0
2,153,6085.10009765625
2,154,8759.2998046875
2,155,9206.5
2,157,9501.2001953125
2,159,9571.7998046875
2,160,9033.2001953125
2,161,8586.7998046875
2,162,8992.099609375
2,163,10071.099609375
2,165,7445.2001953125
2,166,6996.10009765625
2,167,7736.2001953125
2,168,6852.2998046875
2,169,7123.39990234375
2,170,4885.2001953125
2,171,6356.5
2,173,6957.60009765625
2,174,9418.0
2,177,2204.89990234375
2,179,6211.89990234375
2,183,1937.0999755859375
2,184,5324.2998046875
2,187,9538.0
2,188,8081.60009765625
2,191,7378.2998046875
2,192,6534.89990234375
2,193,8624.599609375
2,195,7652.2001953125
2,196,6940.2001953125
2,198,9467.7998046875
2,201,6431.39990234375
2,202,7821.7998046875
2,203,9366.599609375
2,206,9837.0
3,1,6805.89990234375
3,2,9293.599609375
3,4,1745.5
3,5,6068.7998046875
3,6,5401.5
3,7,9312.2998046875
3,12,3768.199951171875
3,15,2082.10009765625
3,16,5502.5
3,17,1415.300048828125
3,19,9000.900390625
3,23,8568.599609375
3,28,8732.400390625
3,30,7197.2001953125
3,33,2956.699951171875
3,38,6794.89990234375
3,39,9814.400390625
3,48,8241.2998046875
3,49,5547.60009765625
3,56,8243.2001953125
3,57,10132.2001953125
3,64,9269.099609375
3,65,9051.2998046875
3,74,10745.2001953125
3,78,10022.099609375
3,80,2110.39990234375
3,91,5648.10009765625
3,93,4353.10009765625
3,94,8502.2998046875
3,96,9149.599609375
3,97,6672.0
3,101,8098.2001953125
3,109,9063.0
3,119,11110.7001953125
3,123,6377.89990234375
3,124,8290.400390625
3,127,7880.0
3,128,5629.2998046875
3,129,6356.2998046875
3,133,8727.900390625
3,134,8758.7998046875
3,135,5753.10009765625
3,136,5181.60009765625
3,138,4937.0
3,139,7972.60009765625
3,144,3309.5
3,147,7175.89990234375
3,154,5198.10009765625
3,155,6452.7001953125
3,157,4630.0
3,159,6395.10009765625
3,160,5050.0
3,161,3490.0
3,162,4120.89990234375
3,163,6894.39990234375
3,165,8319.400390625
3,166,6269.7998046875
3,170,7172.7998046875
3,174,7741.89990234375
3,177,7521.5
